TD Error Mean: 0.2502, TD Error Std: 0.1200, Q1 Loss: 0.0770, Q2 Loss: 0.0071, Policy Loss: -4.9964, Log Prob Mean: -5.2448, Log Prob Std: 1.0997, Alpha: 0.9999, Log Alpha: -0.0001
TD Error Mean: 0.1737, TD Error Std: 0.0774, Q1 Loss: 0.0168, Q2 Loss: 0.0134, Policy Loss: -4.7449, Log Prob Mean: -5.1177, Log Prob Std: 1.0980, Alpha: 0.9998, Log Alpha: -0.0002
TD Error Mean: 0.3250, TD Error Std: 0.0788, Q1 Loss: 0.0558, Q2 Loss: 0.0080, Policy Loss: -4.6828, Log Prob Mean: -5.0054, Log Prob Std: 0.7315, Alpha: 0.9997, Log Alpha: -0.0003
TD Error Mean: 0.2877, TD Error Std: 0.0735, Q1 Loss: 0.0464, Q2 Loss: 0.0044, Policy Loss: -4.6479, Log Prob Mean: -4.8661, Log Prob Std: 1.2184, Alpha: 0.9996, Log Alpha: -0.0004
TD Error Mean: 0.1909, TD Error Std: 0.0725, Q1 Loss: 0.0229, Q2 Loss: 0.0053, Policy Loss: -4.9527, Log Prob Mean: -5.0544, Log Prob Std: 0.9773, Alpha: 0.9995, Log Alpha: -0.0005
TD Error Mean: 0.0515, TD Error Std: 0.0352, Q1 Loss: 0.0022, Q2 Loss: 0.0054, Policy Loss: -5.1110, Log Prob Mean: -5.1066, Log Prob Std: 0.8875, Alpha: 0.9994, Log Alpha: -0.0006
TD Error Mean: 0.0768, TD Error Std: 0.0434, Q1 Loss: 0.0043, Q2 Loss: 0.0031, Policy Loss: -5.3437, Log Prob Mean: -5.3668, Log Prob Std: 0.7597, Alpha: 0.9993, Log Alpha: -0.0007
TD Error Mean: 0.1665, TD Error Std: 0.0600, Q1 Loss: 0.0159, Q2 Loss: 0.0019, Policy Loss: -5.0587, Log Prob Mean: -5.1393, Log Prob Std: 0.8706, Alpha: 0.9992, Log Alpha: -0.0008
TD Error Mean: 0.1982, TD Error Std: 0.0673, Q1 Loss: 0.0242, Q2 Loss: 0.0026, Policy Loss: -5.2659, Log Prob Mean: -5.3645, Log Prob Std: 0.5449, Alpha: 0.9991, Log Alpha: -0.0009
TD Error Mean: 0.1835, TD Error Std: 0.0530, Q1 Loss: 0.0199, Q2 Loss: 0.0024, Policy Loss: -5.2629, Log Prob Mean: -5.3434, Log Prob Std: 0.6376, Alpha: 0.9990, Log Alpha: -0.0010
TD Error Mean: 0.1462, TD Error Std: 0.0481, Q1 Loss: 0.0130, Q2 Loss: 0.0024, Policy Loss: -5.3402, Log Prob Mean: -5.3825, Log Prob Std: 0.8101, Alpha: 0.9989, Log Alpha: -0.0011
TD Error Mean: 0.0990, TD Error Std: 0.0426, Q1 Loss: 0.0066, Q2 Loss: 0.0014, Policy Loss: -5.0091, Log Prob Mean: -5.0422, Log Prob Std: 0.7005, Alpha: 0.9988, Log Alpha: -0.0012
TD Error Mean: 0.0417, TD Error Std: 0.0299, Q1 Loss: 0.0015, Q2 Loss: 0.0013, Policy Loss: -5.3852, Log Prob Mean: -5.4546, Log Prob Std: 0.7391, Alpha: 0.9987, Log Alpha: -0.0013
TD Error Mean: 0.0364, TD Error Std: 0.0245, Q1 Loss: 0.0012, Q2 Loss: 0.0016, Policy Loss: -5.1278, Log Prob Mean: -5.2430, Log Prob Std: 0.5743, Alpha: 0.9986, Log Alpha: -0.0014
TD Error Mean: 0.0728, TD Error Std: 0.0481, Q1 Loss: 0.0043, Q2 Loss: 0.0016, Policy Loss: -5.1998, Log Prob Mean: -5.3498, Log Prob Std: 0.6890, Alpha: 0.9985, Log Alpha: -0.0015
